"region";"Elever per kommunal skole (antall) 2015";"Elever per kommunal skole (antall) 2016";"Elever per kommunal skole (antall) 2017";"Elever per kommunal skole (antall) 2018";"Elever per kommunal skole (antall) 2019";"Elever per kommunal skole (antall) 2020"
"0602 Drammen (-2019)";393.7;394.4;396.7;373.4;372.9;.
"0604 Kongsberg (-2019)";240.7;245.1;248.3;249.2;248.8;.
"0605 Ringerike (-2019)";226.7;229.9;237.2;233.3;248.8;.
"0612 Hole (-2019)";195.8;200.8;204.5;215.8;218.3;.
"0615 Flå (-2019)";105.0;119.0;125.0;118.0;109.0;.
"0616 Nes (Buskerud) (-2019)";164.5;162.0;180.5;170.5;165.0;.
"0617 Gol (-2019)";264.0;543.0;521.0;512.0;504.0;.
"0618 Hemsedal (-2019)";95.0;103.3;106.7;101.7;104.7;.
"0619 Ål (-2019)";127.4;127.6;118.0;116.2;111.6;.
"0620 Hol (-2019)";156.7;162.0;158.3;149.7;137.3;.
"0621 Sigdal (-2019)";107.3;104.8;106.0;102.8;100.0;.
"0622 Krødsherad (-2019)";110.0;124.0;126.5;129.5;127.0;.
"0623 Modum (-2019)";217.6;193.3;195.6;197.9;226.4;.
"0624 Øvre Eiker (-2019)";277.8;280.6;282.1;286.1;288.3;.
"0625 Nedre Eiker (-2019)";309.1;309.3;319.6;324.3;323.5;.
"0626 Lier (-2019)";279.9;280.3;284.0;287.4;287.3;.
"0627 Røyken (-2019)";263.4;263.1;263.5;269.0;272.6;.
"0628 Hurum (-2019)";210.6;215.4;215.6;211.2;205.2;.
"0631 Flesberg (-2019)";166.5;163.5;153.0;156.0;311.0;.
"0632 Rollag (-2019)";137.0;128.0;119.0;117.0;116.0;.
"0633 Nore og Uvdal (-2019)";140.0;140.0;129.0;121.5;126.0;.
"3801 Horten";.;.;.;.;.;277.8
"3802 Holmestrand";.;.;.;.;.;284.1
"3803 Tønsberg";.;.;.;.;.;322.3
"3804 Sandefjord";.;.;.;.;.;262.4
"3805 Larvik";.;.;.;.;.;261.9
"3806 Porsgrunn";.;.;.;.;.;258.1
"3807 Skien";.;.;.;.;.;283.7
"3808 Notodden";.;.;.;.;.;169.6
"3811 Færder";.;.;.;.;.;276.0
"3812 Siljan";.;.;.;.;.;140.0
"3813 Bamble";.;.;.;.;.;228.6
"3814 Kragerø";.;.;.;.;.;208.4
"3815 Drangedal";.;.;.;.;.;159.7
"3816 Nome";.;.;.;.;.;337.5
"3817 Midt-Telemark";.;.;.;.;.;287.5
"3818 Tinn";.;.;.;.;.;105.8
"3819 Hjartdal";.;.;.;.;.;111.0
"3820 Seljord";.;.;.;.;.;175.0
"3821 Kviteseid";.;.;.;.;.;109.0
"3822 Nissedal";.;.;.;.;.;94.0
"3823 Fyresdal";.;.;.;.;.;157.0
"3824 Tokke";.;.;.;.;.;124.5
"3825 Vinje";.;.;.;.;.;102.0
"0701 Horten (-2019)";277.8;282.2;280.8;281.5;281.7;.
"0702 Holmestrand (-2017)";273.8;284.0;290.8;.;.;.
"0704 Tønsberg (-2019)";312.1;310.1;313.7;321.1;326.9;.
"0706 Sandefjord (-2016)";289.2;289.2;.;.;.;.
"0709 Larvik (-2017)";250.9;252.1;267.1;.;.;.
"0710 Sandefjord (2017-2019)";.;.;261.8;262.9;263.3;.
"0711 Svelvik (-2019)";259.0;252.3;252.0;247.3;249.3;.
"0712 Larvik (2018-2019)";.;.;.;266.3;264.9;.
"0713 Sande (Vestfold) (-2019)";247.8;247.4;249.0;247.6;249.4;.
"0714 Hof (-2017)";401.0;402.0;388.0;.;.;.
"0715 Holmestrand (2018-2019)";.;.;.;313.4;314.6;.
"0716 Re (-2019)";228.8;229.6;234.4;236.4;238.4;.
"0719 Andebu (-2016)";182.8;188.0;.;.;.;.
"0720 Stokke (-2016)";231.0;239.5;.;.;.;.
"0722 Nøtterøy (-2017)";292.3;292.2;294.9;.;.;.
"0723 Tjøme (-2017)";235.0;220.0;217.5;.;.;.
"0728 Lardal (-2017)";148.0;277.0;284.0;.;.;.
"0729 Færder (2018-2019)";.;.;.;284.6;279.8;.
"0805 Porsgrunn (-2019)";266.6;265.9;262.9;263.3;261.3;.
"0806 Skien (-2019)";286.0;283.6;286.9;287.7;284.8;.
"0807 Notodden (-2019)";173.6;177.1;168.9;164.1;166.0;.
"0811 Siljan (-2019)";144.5;152.0;147.5;150.0;145.5;.
"0814 Bamble (-2019)";236.3;233.4;234.7;231.6;229.4;.
"0815 Kragerø (-2019)";223.2;218.6;217.8;212.6;209.2;.
"0817 Drangedal (-2019)";161.3;163.3;169.3;160.3;160.3;.
"0819 Nome (-2019)";231.3;348.0;348.5;347.0;346.0;.
"0821 Bø (Telemark) (-2019)";241.0;248.0;250.7;252.7;253.3;.
"0822 Sauherad (-2019)";414.0;406.0;400.0;402.0;378.0;.
"0826 Tinn (-2019)";131.4;126.0;123.6;117.8;110.6;.
"0827 Hjartdal (-2019)";63.3;64.3;66.3;62.3;130.0;.
"0828 Seljord (-2019)";111.3;115.7;120.7;125.3;179.5;.
"0829 Kviteseid (-2019)";81.0;78.3;76.7;72.7;76.0;.
"0830 Nissedal (-2019)";51.7;55.0;57.7;89.5;97.0;.
"0831 Fyresdal (-2019)";171.0;169.0;173.0;173.0;164.0;.
"0833 Tokke (-2019)";127.5;127.0;125.5;128.5;129.0;.
"0834 Vinje (-2019)";107.3;105.0;103.0;104.5;101.8;.
"4201 Risør";.;.;.;.;.;178.5
"4202 Grimstad";.;.;.;.;.;284.2
"4203 Arendal";.;.;.;.;.;313.1
"4204 Kristiansand";.;.;.;.;.;275.7
"4205 Lindesnes";.;.;.;.;.;222.2
"4206 Farsund";.;.;.;.;.;243.6
"4207 Flekkefjord";.;.;.;.;.;196.3
"4211 Gjerstad";.;.;.;.;.;271.0
"4212 Vegårshei";.;.;.;.;.;287.0
"4213 Tvedestrand";.;.;.;.;.;115.7
"4214 Froland";.;.;.;.;.;195.5
"4215 Lillesand";.;.;.;.;.;294.0
"4216 Birkenes";.;.;.;.;.;194.0
"4217 Åmli";.;.;.;.;.;101.5
"4218 Iveland";.;.;.;.;.;95.0
"4219 Evje og Hornnes";.;.;.;.;.;162.0
"4220 Bygland";.;.;.;.;.;60.5
"4221 Valle";.;.;.;.;.;118.0
"4222 Bykle";.;.;.;.;.;50.5
"4223 Vennesla";.;.;.;.;.;245.5
"4224 Åseral";.;.;.;.;.;117.0
"4225 Lyngdal";.;.;.;.;.;175.0
"4226 Hægebostad";.;.;.;.;.;75.0
"4227 Kvinesdal";.;.;.;.;.;122.8
"4228 Sirdal";.;.;.;.;.;120.0
"0901 Risør (-2019)";190.3;183.5;184.8;184.3;180.8;.
"0904 Grimstad (-2019)";291.3;259.3;259.4;262.8;260.9;.
"0906 Arendal (-2019)";305.0;311.0;307.1;313.6;313.8;.
"0911 Gjerstad (-2019)";89.7;89.7;89.0;91.7;279.0;.
"0912 Vegårshei (-2019)";272.0;292.0;300.0;311.0;295.0;.
"0914 Tvedestrand (-2019)";117.5;119.8;119.7;120.7;119.8;.
"0919 Froland (-2019)";373.5;382.5;396.0;200.8;200.3;.
"0926 Lillesand (-2019)";268.6;269.8;288.0;293.4;296.0;.
"0928 Birkenes (-2019)";182.5;189.3;186.0;188.0;190.3;.
"0929 Åmli (-2019)";105.0;101.0;100.0;99.0;101.0;.
"0935 Iveland (-2019)";78.5;81.5;83.5;87.5;91.5;.
"0937 Evje og Hornnes (-2019)";149.7;173.0;162.0;165.7;162.7;.
"0938 Bygland (-2019)";76.0;79.0;67.0;67.5;67.5;.
"0940 Valle (-2019)";76.0;75.5;71.5;66.5;129.0;.
"0941 Bykle (-2019)";51.5;49.5;53.0;55.0;55.5;.
"1001 Kristiansand (-2019)";284.4;288.8;290.3;291.2;297.0;.
"1002 Mandal (-2019)";290.4;292.3;298.0;285.6;283.4;.
"1003 Farsund (-2019)";308.5;303.0;245.8;239.0;239.2;.
"1004 Flekkefjord (-2019)";188.5;199.0;195.5;198.2;197.0;.
"1014 Vennesla (-2019)";225.6;232.9;237.5;242.3;246.3;.
"1017 Songdalen (-2019)";198.0;205.0;204.3;208.8;205.3;.
"1018 Søgne (-2019)";274.8;266.8;267.4;271.0;272.4;.
"1021 Marnardal (-2019)";102.0;103.0;103.0;103.0;100.0;.
"1026 Åseral (-2019)";131.0;133.0;125.0;126.0;115.0;.
"1027 Audnedal (-2019)";108.7;107.7;105.3;107.3;102.7;.
"1029 Lindesnes (-2019)";204.3;197.0;202.7;202.0;198.7;.
"1032 Lyngdal (-2019)";223.0;224.6;224.2;224.0;216.4;.
"1034 Hægebostad (-2019)";74.0;68.5;74.5;78.0;78.5;.
"1037 Kvinesdal (-2019)";127.5;127.5;125.8;127.5;128.7;.
"1046 Sirdal (-2019)";114.0;121.5;115.5;121.5;121.5;.
"1101 Eigersund";230.0;229.5;225.1;225.8;222.4;221.0
"1102 Sandnes (-2019)";316.7;326.3;344.2;350.2;350.6;.
"1103 Stavanger";352.1;360.1;363.0;364.5;366.1;338.0
"1106 Haugesund";329.0;327.6;328.2;327.6;325.2;317.5
"1108 Sandnes";.;.;.;.;.;337.7
"1111 Sokndal";435.0;448.0;447.0;455.0;454.0;451.0
"1112 Lund";111.8;105.5;113.3;111.3;113.8;108.8
"1114 Bjerkreim";211.0;217.0;219.5;220.0;210.5;210.0
"1119 Hå";227.9;281.0;284.3;291.6;293.2;296.1
"1120 Klepp";272.3;272.4;270.6;275.2;304.0;307.0
"1121 Time";249.5;253.7;255.2;256.9;289.3;292.7
"1122 Gjesdal";274.5;285.7;284.5;288.0;296.5;300.5
"1124 Sola";307.5;315.5;323.9;322.1;326.4;330.5
"1127 Randaberg";494.3;495.0;499.3;501.3;510.3;513.3
"1129 Forsand (-2019)";195.0;198.0;192.0;180.0;162.0;.
"1130 Strand";291.3;285.2;280.3;280.5;278.5;276.0
"1133 Hjelmeland";131.0;125.7;119.7;120.0;111.0;109.7
"1134 Suldal";75.3;72.4;73.6;72.7;73.0;74.3
"1135 Sauda";135.5;150.0;144.5;147.0;148.0;143.5
"1141 Finnøy (-2019)";104.8;107.0;105.0;102.3;103.8;.
"1142 Rennesøy (-2019)";256.0;262.7;259.0;265.3;267.3;.
"1144 Kvitsøy";84.0;74.0;72.0;64.0;61.0;55.0
"1145 Bokn";121.0;117.0;112.0;107.0;95.0;90.0
"1146 Tysvær";205.1;210.5;207.0;208.9;202.1;205.9
"1149 Karmøy";239.6;242.4;244.7;243.0;241.2;244.0
"1151 Utsira";24.0;25.0;25.0;21.0;21.0;20.0
"1160 Vindafjord";124.3;124.0;122.4;123.6;123.4;124.2
"4601 Bergen";.;.;.;.;.;348.9
"4602 Kinn";.;.;.;.;.;171.7
"4611 Etne";.;.;.;.;.;247.5
"4612 Sveio";.;.;.;.;.;166.0
"4613 Bømlo";.;.;.;.;.;190.8
"4614 Stord";.;.;.;.;.;248.3
"4615 Fitjar";.;.;.;.;.;142.3
"4616 Tysnes";.;.;.;.;.;107.0
"4617 Kvinnherad";.;.;.;.;.;105.9
"4618 Ullensvang";.;.;.;.;.;124.1
"4619 Eidfjord";.;.;.;.;.;93.0
"4620 Ulvik";.;.;.;.;.;115.0
"4621 Voss";.;.;.;.;.;168.5
"4622 Kvam";.;.;.;.;.;168.5
"4623 Samnanger";.;.;.;.;.;151.0
"4624 Bjørnafjorden";.;.;.;.;.;200.0
"4625 Austevoll";.;.;.;.;.;228.0
"4626 Øygarden";.;.;.;.;.;237.8
"4627 Askøy";.;.;.;.;.;258.6
"4628 Vaksdal";.;.;.;.;.;117.0
"4629 Modalen";.;.;.;.;.;58.0
"4630 Osterøy";.;.;.;.;.;165.4
"4631 Alver";.;.;.;.;.;171.2
"4632 Austrheim";.;.;.;.;.;178.0
